open,high,low,close,adjclose,volume,ingested_at_utc
3737.5,3750.0,3662.5,3687.5,2928.59326171875,37392000,2026-02-16 06:57:36.103698+00:00
3712.5,3737.5,3600.0,3662.5,2908.738525390625,44307200,2026-02-16 06:57:36.103698+00:00
3650.0,3775.0,3612.5,3775.0,2998.08544921875,65670400,2026-02-16 06:57:36.103698+00:00
3800.0,4037.5,3800.0,3950.0,3137.0693359375,149978000,2026-02-16 06:57:36.103698+00:00
3962.5,3987.5,3862.5,3912.5,3107.286865234375,58625000,2026-02-16 06:57:36.103698+00:00
3925.0,3937.5,3862.5,3887.5,3087.43212890625,21229200,2026-02-16 06:57:36.103698+00:00
3887.5,3912.5,3825.0,3862.5,3067.577392578125,48916600,2026-02-16 06:57:36.103698+00:00
3875.0,3925.0,3812.5,3875.0,3077.504638671875,46691200,2026-02-16 06:57:36.103698+00:00
3850.0,3887.5,3800.0,3837.5,3047.722412109375,28738000,2026-02-16 06:57:36.103698+00:00
3862.5,3862.5,3812.5,3837.5,3047.722412109375,19296200,2026-02-16 06:57:36.103698+00:00
3837.5,3875.0,3812.5,3812.5,3027.867431640625,33528400,2026-02-16 06:57:36.103698+00:00
3800.0,3900.0,3787.5,3862.5,3067.577392578125,101298400,2026-02-16 06:57:36.103698+00:00
3887.5,3887.5,3725.0,3750.0,2978.23046875,73559600,2026-02-16 06:57:36.103698+00:00
3750.0,3800.0,3637.5,3800.0,3017.93994140625,47956400,2026-02-16 06:57:36.103698+00:00
3825.0,3850.0,3750.0,3837.5,3047.722412109375,34375400,2026-02-16 06:57:36.103698+00:00
3800.0,3825.0,3750.0,3775.0,2998.08544921875,29695800,2026-02-16 06:57:36.103698+00:00
3750.0,3800.0,3725.0,3800.0,3017.93994140625,43277200,2026-02-16 06:57:36.103698+00:00
3800.0,3800.0,3675.0,3675.0,2918.665771484375,47613000,2026-02-16 06:57:36.103698+00:00
3687.5,3712.5,3587.5,3650.0,2898.81103515625,59175600,2026-02-16 06:57:36.103698+00:00
3675.0,3775.0,3650.0,3725.0,2958.37548828125,34211400,2026-02-16 06:57:36.103698+00:00
3737.5,3762.5,3675.0,3712.5,2948.447998046875,41639200,2026-02-16 06:57:36.103698+00:00
3737.5,3800.0,3687.5,3800.0,3017.93994140625,42106200,2026-02-16 06:57:36.103698+00:00
3800.0,3837.5,3750.0,3825.0,3037.794921875,48311000,2026-02-16 06:57:36.103698+00:00
3812.5,3862.5,3762.5,3850.0,3057.64990234375,42079800,2026-02-16 06:57:36.103698+00:00
3850.0,3850.0,3812.5,3825.0,3037.794921875,21247000,2026-02-16 06:57:36.103698+00:00
3812.5,3825.0,3737.5,3750.0,2978.23046875,25178600,2026-02-16 06:57:36.103698+00:00
3762.5,3787.5,3712.5,3750.0,2978.23046875,73842800,2026-02-16 06:57:36.103698+00:00
3725.0,3787.5,3712.5,3737.5,2968.302978515625,24769800,2026-02-16 06:57:36.103698+00:00
3737.5,3787.5,3675.0,3700.0,2938.5205078125,21981000,2026-02-16 06:57:36.103698+00:00
3700.0,3762.5,3662.5,3750.0,2978.23046875,20343400,2026-02-16 06:57:36.103698+00:00
3725.0,3850.0,3725.0,3775.0,2998.08544921875,64660200,2026-02-16 06:57:36.103698+00:00
3762.5,3825.0,3737.5,3775.0,2998.08544921875,41645000,2026-02-16 06:57:36.103698+00:00
3750.0,3775.0,3712.5,3712.5,2948.447998046875,42196800,2026-02-16 06:57:36.103698+00:00
3725.0,3762.5,3712.5,3725.0,2958.37548828125,53985800,2026-02-16 06:57:36.103698+00:00
3750.0,3812.5,3737.5,3787.5,3008.01220703125,29544800,2026-02-16 06:57:36.103698+00:00
3812.5,3825.0,3762.5,3787.5,3008.01220703125,36970600,2026-02-16 06:57:36.103698+00:00
3787.5,3825.0,3762.5,3800.0,3017.93994140625,38381200,2026-02-16 06:57:36.103698+00:00
3825.0,3825.0,3762.5,3762.5,2988.15771484375,31571800,2026-02-16 06:57:36.103698+00:00
3775.0,3837.5,3762.5,3762.5,2988.15771484375,50870000,2026-02-16 06:57:36.103698+00:00
3812.5,3850.0,3787.5,3825.0,3037.794921875,48904000,2026-02-16 06:57:36.103698+00:00
3825.0,3875.0,3800.0,3850.0,3057.64990234375,59955600,2026-02-16 06:57:36.103698+00:00
3850.0,3862.5,3825.0,3850.0,3057.64990234375,45188200,2026-02-16 06:57:36.103698+00:00
3850.0,3925.0,3825.0,3912.5,3107.286865234375,84394000,2026-02-16 06:57:36.103698+00:00
3912.5,3925.0,3875.0,3912.5,3107.286865234375,38600800,2026-02-16 06:57:36.103698+00:00
