Date,open,high,low,close,adjclose,volume,ingested_at_utc,MA50,MA200,daily_return,volatility_20d,volume_ma20,price_change,running_max,drawdown
2025-04-25,4200.0,4210.0,4140.0,4200.0,4200.0,102065100,2026-02-16 06:57:36.103698+00:00,3968.899892578125,4471.42761352539,0.007194244604316502,0.03843981722003923,130152270.0,30.0,5460.84814453125,-0.2308887028462644
2025-04-28,4210.0,4250.0,4170.0,4190.0,4190.0,68481300,2026-02-16 06:57:36.103698+00:00,3970.098828125,4471.360233154297,-0.0023809523809523725,0.038411132790604006,128055330.0,-10.0,5460.84814453125,-0.23271992022043994
2025-04-29,4210.0,4220.0,4120.0,4140.0,4140.0,61824000,2026-02-16 06:57:36.103698+00:00,3974.15248046875,4470.675736083985,-0.011933174224343701,0.038115996702335314,125666610.0,-50.0,5460.84814453125,-0.24187600709131776
2025-04-30,4160.0,4180.0,4080.0,4180.0,4180.0,85510000,2026-02-16 06:57:36.103698+00:00,3979.373251953125,4469.961790771485,0.009661835748792313,0.03290956693695171,117605725.0,40.0,5460.84814453125,-0.23455113759461552
2025-05-02,4220.0,4230.0,4160.0,4200.0,4200.0,81966800,2026-02-16 06:57:36.103698+00:00,3987.19671875,4469.347845458984,0.004784688995215225,0.032482767960790054,114921130.0,20.0,5460.84814453125,-0.2308887028462644
2025-05-05,4210.0,4280.0,4180.0,4210.0,4210.0,60392100,2026-02-16 06:57:36.103698+00:00,3996.6886474609373,4469.059237060547,0.0023809523809523725,0.03129592973225417,110057140.0,10.0,5460.84814453125,-0.22905748547208882
2025-05-06,4220.0,4230.0,4170.0,4180.0,4180.0,66444400,2026-02-16 06:57:36.103698+00:00,4001.3587451171875,4468.345291748047,-0.0071258907363420665,0.024924884373020727,101908260.0,-30.0,5460.84814453125,-0.23455113759461552
2025-05-07,4190.0,4200.0,4140.0,4160.0,4160.0,57689300,2026-02-16 06:57:36.103698+00:00,4006.546630859375,4467.577237548828,-0.004784688995215336,0.024962175872794864,99733245.0,-20.0,5460.84814453125,-0.23821357234296664
2025-05-08,4160.0,4220.0,4080.0,4120.0,4120.0,77995600,2026-02-16 06:57:36.103698+00:00,4008.7318212890623,4466.746851806641,-0.009615384615384581,0.021894986817772057,94368945.0,-40.0,5460.84814453125,-0.24553844183966886
2025-05-09,4120.0,4140.0,4060.0,4100.0,4100.0,37787800,2026-02-16 06:57:36.103698+00:00,4006.8458544921873,4464.944564208984,-0.004854368932038833,0.022011711308524994,92187625.0,-20.0,5460.84814453125,-0.24920087658801998
2025-05-14,4180.0,4370.0,4160.0,4370.0,4370.0,179465400,2026-02-16 06:57:36.103698+00:00,4007.0558447265626,4464.675836181641,0.06585365853658542,0.02345267586402214,94601765.0,270.0,5460.84814453125,-0.19975800748527986
2025-05-15,4390.0,4530.0,4390.0,4500.0,4500.0,120598100,2026-02-16 06:57:36.103698+00:00,4014.0876708984374,4464.827659912109,0.029748283752860427,0.023410725847341315,96120590.0,130.0,5460.84814453125,-0.17595218162099754
2025-05-16,4530.0,4530.0,4360.0,4500.0,4500.0,88956700,2026-02-16 06:57:36.103698+00:00,4022.22083984375,4464.268197021484,0.0,0.022291249987340077,92461985.0,0.0,5460.84814453125,-0.17595218162099754
2025-05-19,4480.0,4520.0,4430.0,4460.0,4460.0,60120200,2026-02-16 06:57:36.103698+00:00,4032.4909375,4463.508734130859,-0.008888888888888835,0.021897959937731335,87643965.0,-40.0,5460.84814453125,-0.1832770511176998
2025-05-20,4460.0,4570.0,4420.0,4450.0,4450.0,81048500,2026-02-16 06:57:36.103698+00:00,4044.396611328125,4462.905772705079,-0.0022421524663677195,0.01931174434907513,86209635.0,-10.0,5460.84814453125,-0.18510826849187537
2025-05-21,4480.0,4580.0,4470.0,4520.0,4520.0,79967600,2026-02-16 06:57:36.103698+00:00,4057.151611328125,4462.561033935547,0.01573033707865168,0.018936732158461513,86788390.0,70.0,5460.84814453125,-0.17228974687264642
2025-05-22,4520.0,4540.0,4470.0,4470.0,4470.0,42314700,2026-02-16 06:57:36.103698+00:00,4066.703916015625,4461.622122802734,-0.011061946902654829,0.018872527385084804,85550555.0,-50.0,5460.84814453125,-0.18144583374352424
2025-05-23,4510.0,4520.0,4480.0,4510.0,4510.0,21621500,2026-02-16 06:57:36.103698+00:00,4077.2397802734376,4460.7684875488285,0.008948545861297452,0.01888373771130398,82431575.0,40.0,5460.84814453125,-0.174120964246822
2025-05-26,4510.0,4520.0,4420.0,4500.0,4500.0,36713800,2026-02-16 06:57:36.103698+00:00,4093.2659423828127,4459.864852294922,-0.0022172949002217113,0.017684696594111954,77819830.0,-10.0,5460.84814453125,-0.17595218162099754
2025-05-27,4500.0,4530.0,4460.0,4530.0,4530.0,40871300,2026-02-16 06:57:36.103698+00:00,4105.670268554688,4459.340665283203,0.006666666666666599,0.017692919370631766,72591710.0,30.0,5460.84814453125,-0.17045852949847087
2025-05-28,4520.0,4540.0,4470.0,4490.0,4490.0,63745800,2026-02-16 06:57:36.103698+00:00,4118.008828125,4458.3870300292965,-0.008830022075055233,0.017916051781098268,70675745.0,-40.0,5460.84814453125,-0.17778339899517312
2025-06-02,4480.0,4480.0,4300.0,4370.0,4370.0,68993300,2026-02-16 06:57:36.103698+00:00,4123.541997070312,4457.177567138672,-0.026726057906458767,0.01912248478026658,70701345.0,-120.0,5460.84814453125,-0.19975800748527986
2025-06-03,4350.0,4380.0,4260.0,4370.0,4370.0,42954800,2026-02-16 06:57:36.103698+00:00,4126.688911132813,4456.082828369141,0.0,0.018839918826379982,69757885.0,0.0,5460.84814453125,-0.19975800748527986
2025-06-04,4420.0,4420.0,4300.0,4300.0,4300.0,35499900,2026-02-16 06:57:36.103698+00:00,4129.353618164063,4454.523365478515,-0.016018306636155555,0.019223952301682567,67257380.0,-70.0,5460.84814453125,-0.21257652910450878
2025-06-05,4310.0,4420.0,4310.0,4420.0,4420.0,36143400,2026-02-16 06:57:36.103698+00:00,4136.070346679688,4453.908072509766,0.027906976744185963,0.02010159937639723,64966210.0,120.0,5460.84814453125,-0.19060192061440204
2025-06-10,4470.0,4520.0,4450.0,4520.0,4520.0,45818600,2026-02-16 06:57:36.103698+00:00,4144.787075195312,4453.701002197266,0.02262443438914019,0.020586200014116714,64237535.0,100.0,5460.84814453125,-0.17228974687264642
